item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_purchase_coverage_pct,high_view_threshold,purchase_rate_benchmark,product_quadrant,estimated_gap_vs_benchmark,data_reliability_note
Google Speckled Beanie Navy,Home/Apparel/Hats/,9907,3205,98,65,87,32.35,0.99,0.66,74.71,5727,0.83,高浏览 + 低转化,16.8,可用于初步比较
YouTube Jotter Task Pad,Home/Stationery/Notebooks/,7040,1507,89,44,54,21.41,1.26,0.63,81.48,5727,0.83,高浏览 + 低转化,14.1,可用于初步比较
Google Beekeepers Tee Mint,Home/Apparel/Women's/,6148,1433,57,40,46,23.31,0.93,0.65,86.96,5727,0.83,高浏览 + 低转化,11.1,可用于初步比较
Google Speckled Beanie Grey,Home/Apparel/Hats/,6742,2618,59,46,66,38.83,0.88,0.68,69.7,5727,0.83,高浏览 + 低转化,10.1,可用于初步比较
Super G Unisex Joggers,Home/Apparel/Men's / Unisex/,17717,3940,226,140,218,22.24,1.28,0.79,64.22,5727,0.83,高浏览 + 低转化,7.1,可用于初步比较
Google Land & Sea Cotton Cap,Home/Apparel/,11810,3760,130,93,107,31.84,1.1,0.79,86.92,5727,0.83,高浏览 + 低转化,4.7,可用于初步比较
Google Zip Hoodie F/C,Home/Apparel/Men's / Unisex/,16786,4092,219,142,221,24.38,1.3,0.85,64.25,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Badge Heavyweight Pullover Black,Men's / Unisex,11012,3007,125,95,150,27.31,1.14,0.86,63.33,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Crewneck Sweatshirt Navy,Home/Apparel/,10587,3246,235,158,188,30.66,2.22,1.49,84.04,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Crewneck Sweatshirt Green,Home/Apparel/Men's / Unisex/,9302,2830,151,104,150,30.42,1.62,1.12,69.33,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Heathered Pom Beanie,Home/Apparel/Hats/,9280,3086,171,123,170,33.25,1.84,1.33,72.35,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Leather Strap Hat Blue,Home/Apparel/,8351,3070,109,77,115,36.76,1.31,0.92,66.96,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Android Iconic Crewneck Sweatshirt,Home/Apparel/Men's / Unisex/,7377,1739,107,66,85,23.57,1.45,0.89,77.65,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Red Speckled Tee,Home/Apparel/Men's / Unisex/,7329,2097,147,113,135,28.61,2.01,1.54,83.7,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Noogler Android Figure,Lifestyle/Small Goods/,6123,1318,112,68,97,21.53,1.83,1.11,70.1,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Large Tote White,Lifestyle/Bags/,6110,1237,73,51,73,20.25,1.19,0.83,69.86,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Glass Bottle,Lifestyle/Drinkware/,5924,1671,109,56,84,28.21,1.84,0.95,66.67,5727,0.83,高浏览 + 高转化,0.0,可用于初步比较
Google Men's Tech Fleece Grey,Home/Shop by Brand/Google/,5495,1697,93,67,91,30.88,1.69,1.22,73.63,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Dino Game Tee,Men's / Unisex,5077,997,91,57,84,19.64,1.79,1.12,67.86,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Keyboard DOT Sticker,Office,5045,1360,86,43,61,26.96,1.7,0.85,70.49,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Crew Socks,Home/Apparel/,4935,1061,146,88,132,21.5,2.96,1.78,66.67,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Women's Grid Zip-Up,Home/Apparel/Women's/,4592,1119,57,43,49,24.37,1.24,0.94,87.76,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Toddler FC Tee Charcoal,Home/Apparel/Kids/,3550,744,48,31,38,20.96,1.35,0.87,81.58,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Crewneck Sweatshirt Grey,Home/Apparel/Men's / Unisex/,3371,1069,79,53,76,31.71,2.34,1.57,69.74,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Laptop and Cell Phone Stickers,Home/Stationery/,3297,1004,178,96,138,30.45,5.4,2.91,69.57,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
#IamRemarkable Unisex T-Shirt,Home/Apparel/Men's / Unisex/,3175,756,54,34,43,23.81,1.7,1.07,79.07,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Metallic Notebook Set,Home/Stationery/,3154,1018,162,91,119,32.28,5.14,2.89,76.47,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Large Standard Journal Grey,Home/Stationery/Notebooks/,3152,909,80,44,68,28.84,2.54,1.4,64.71,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Thermal Tumbler Navy,Drinkware,3120,615,70,47,71,19.71,2.24,1.51,66.2,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Camp Mug Ivory,Drinkware,3110,902,156,117,178,29.0,5.02,3.76,65.73,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Black Cork Journal,Stationery,3102,896,97,51,74,28.88,3.13,1.64,68.92,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Split Seam Tee Olive,Home/Apparel/Men's / Unisex/,3043,827,49,27,35,27.18,1.61,0.89,77.14,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Super G Tumbler (Red Lid),Home/Eco-Friendly/,3031,597,54,33,40,19.7,1.78,1.09,82.5,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Perk Thermal Tumbler,Google,3001,570,105,69,101,18.99,3.5,2.3,68.32,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Pen White,Home/Stationery/,2971,1004,122,78,101,33.79,4.11,2.63,77.23,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cloud Pen,Home/Stationery/,2953,756,67,39,44,25.6,2.27,1.32,88.64,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Recycled Pen Black,Home/Eco-Friendly/,2929,579,51,28,38,19.77,1.74,0.96,73.68,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cotopaxi Shell,Home/Sale/,2917,426,71,48,73,14.6,2.43,1.65,65.75,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Android Pocket Onesie Navy,Home/Apparel/Kids/,2902,770,41,30,46,26.53,1.41,1.03,65.22,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Clear Pen 4-Pack,Home/Stationery/,2857,974,131,80,138,34.09,4.59,2.8,57.97,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Emoji Sticker Pack,Home/Stationery/,2816,816,58,33,51,28.98,2.06,1.17,64.71,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google NYC Campus Sticker,Home/Shop by Brand/Google/,2728,814,45,28,38,29.84,1.65,1.03,73.68,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
#IamRemarkable Unisex Hoodie,Home/Apparel/Men's / Unisex/,2586,478,36,24,26,18.48,1.39,0.93,92.31,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Canteen Bottle Black,Drinkware,2577,648,119,88,116,25.15,4.62,3.41,75.86,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google NYC Campus Bottle,Home/Campus Collection/,2552,724,40,23,34,28.37,1.57,0.9,67.65,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Aluminum Bottle Red,Home/New/,2489,617,40,21,22,24.79,1.61,0.84,95.45,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Infant Hero Tee Olive,Home/Apparel/Kids/,2479,582,34,25,37,23.48,1.37,1.01,67.57,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google NYC Campus Mug,Home/Campus Collection/,2426,706,99,68,90,29.1,4.08,2.8,75.56,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Toddler Tee White,Home/Apparel/Kids/,2404,531,32,23,27,22.09,1.33,0.96,85.19,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Android Buoy Bottle,Lifestyle/,2363,452,82,39,50,19.13,3.47,1.65,78.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cambridge Campus Mug,Home/Campus Collection/,2346,653,66,38,44,27.83,2.81,1.62,86.36,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Camp Mug Gray,Drinkware,2305,760,109,76,85,32.97,4.73,3.3,89.41,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Crew Combed Cotton Sock,Home/Apparel/,2270,574,76,54,83,25.29,3.35,2.38,65.06,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Light Pen Blue,Home/Stationery/Writing/,2174,823,104,67,81,37.86,4.78,3.08,82.72,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Toddler FC Zip Hoodie,Apparel,2168,394,87,56,68,18.17,4.01,2.58,82.35,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Youth Hero Tee Grey,Home/Apparel/Kids/,2167,511,37,25,32,23.58,1.71,1.15,78.13,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Bot (Multicolored),Home/New/,2142,490,62,30,36,22.88,2.89,1.4,83.33,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google 24oz Ring Bottle Blue,Lifestyle/Drinkware/,2093,520,43,34,42,24.84,2.05,1.62,80.95,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Decal,Home/Stationery/,2090,550,53,26,61,26.32,2.54,1.24,42.62,5727,0.83,低浏览 + 高转化,0.0,严格路径覆盖较低
Google Sunglasses,Lifestyle/,2080,333,62,39,67,16.01,2.98,1.88,58.21,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Campus Bike,Google,2033,170,95,64,96,8.36,4.67,3.15,66.67,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Maze Pen,Home/Stationery/,1970,516,53,26,45,26.19,2.69,1.32,57.78,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Mural Sticker Sheet,Home/Stationery/Stickers/,1909,603,76,51,66,31.59,3.98,2.67,77.27,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Men's Tech Fleece Vest Charcoal,Home/Apparel/Men's / Unisex/,1904,392,70,47,60,20.59,3.68,2.47,78.33,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
#IamRemarkable Journal,Home/Stationery/Notebooks/,1903,628,36,26,36,33.0,1.89,1.37,72.22,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Flamingo and Friends Tee Blue,Women's,1875,395,36,20,25,21.07,1.92,1.07,80.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Hemp Tote,Lifestyle/,1847,407,56,35,48,22.04,3.03,1.89,72.92,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Pen Citron,Home/Stationery/Writing/,1827,613,54,35,50,33.55,2.96,1.92,70.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Youth Badge Tee Navy,Home/Apparel/Kids/,1791,570,25,20,23,31.83,1.4,1.12,86.96,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Android Pocket Toddler Tee Navy,Home/Apparel/Kids/,1764,547,36,25,27,31.01,2.04,1.42,92.59,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Youth Badge Tee Olive,Home/Apparel/,1750,527,35,25,30,30.11,2.0,1.43,83.33,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Tee Red,Sale,1706,424,24,15,22,24.85,1.41,0.88,68.18,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Infant Charcoal Onesie,Home/Apparel/Kids/,1629,399,25,18,42,24.49,1.53,1.1,42.86,5727,0.83,低浏览 + 高转化,0.0,严格路径覆盖较低
Google ApPeel Journal Red,Stationery,1571,473,28,15,22,30.11,1.78,0.95,68.18,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Pride Sticker,Home/Stationery/Stickers/,1561,499,63,29,48,31.97,4.04,1.86,60.42,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Clear Framed Yellow Shades,Sale,1561,225,58,30,44,14.41,3.72,1.92,68.18,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Crew Striped Athletic Sock,Home/Apparel/Socks/,1520,426,60,43,56,28.03,3.95,2.83,76.79,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Light Pen Red,Home/Stationery/,1511,589,77,49,67,38.98,5.1,3.24,73.13,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Incognito Zip Pack,Lifestyle/Bags/,1485,142,38,17,23,9.56,2.56,1.14,73.91,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Men's Softshell Moss,Men's / Unisex,1481,293,26,18,30,19.78,1.76,1.22,60.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Confetti Task Pad,Home/Stationery/Notebooks/,1450,286,28,19,23,19.72,1.93,1.31,82.61,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google KeepCup,Drinkware,1391,209,46,28,42,15.03,3.31,2.01,66.67,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Pen Bright Blue,Home/Stationery/,1354,539,52,35,48,39.81,3.84,2.58,72.92,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Felt Luggage Tag,Home/Eco-Friendly/,1301,279,30,17,20,21.45,2.31,1.31,85.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cork Card Holder,Home/Eco-Friendly/,1252,262,31,20,24,20.93,2.48,1.6,83.33,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cork Pencil Pouch,Home/Eco-Friendly/,1241,275,42,14,23,22.16,3.38,1.13,60.87,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cork Passport Holder,Home/Eco-Friendly/,1224,253,32,19,20,20.67,2.61,1.55,95.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Light Pen Green,Home/Stationery/Writing/,1190,453,67,41,58,38.07,5.63,3.45,70.69,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Android Iconic Socks,Home/Apparel/Socks/,1188,372,21,14,19,31.31,1.77,1.18,73.68,5727,0.83,低浏览 + 高转化,0.0,购买样本较少
Google Knit Blanket,Lifestyle/Small Goods/,1186,220,23,10,12,18.55,1.94,0.84,83.33,5727,0.83,低浏览 + 高转化,0.0,购买样本较少
Google Mural Socks,Home/Apparel/Socks/,1185,344,34,24,41,29.03,2.87,2.03,58.54,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Premium Sunglasses,Home/Shop by Brand/,1168,229,37,21,32,19.61,3.17,1.8,65.63,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Mural Sticky Note Pad,Home/Stationery/Notebooks/,1141,379,52,35,44,33.22,4.56,3.07,79.55,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Cork Key Ring,Home/Eco-Friendly/,1133,257,23,12,15,22.68,2.03,1.06,80.0,5727,0.83,低浏览 + 高转化,0.0,购买样本较少
Android Pocket Tee Navy,Women's,1097,309,59,37,51,28.17,5.38,3.37,72.55,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Stan and Friends Onesie Green,Home/Apparel/,1090,200,17,14,24,18.35,1.56,1.28,58.33,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Pen Grey,Home/Stationery/Writing/,1086,452,43,24,31,41.62,3.96,2.21,77.42,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Red Kids Sunglasses,Small Goods,1079,227,22,18,22,21.04,2.04,1.67,81.82,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Stainless Straight Straw/Cleaner,Lifestyle/Drinkware/,1072,288,24,15,20,26.87,2.24,1.4,75.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Black Cloud Zip Hoodie,Men's / Unisex,1064,296,36,28,46,27.82,3.38,2.63,60.87,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Women's Tech Fleece Vest Charcoal,Sale,1051,234,13,10,22,22.26,1.24,0.95,45.45,5727,0.83,低浏览 + 高转化,0.0,严格路径覆盖较低
Google Pen Grass Green,Home/Stationery/Writing/,1043,426,32,19,28,40.84,3.07,1.82,67.86,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Campus Bike Corkbase Mug Blue,Drinkware,1043,233,47,35,48,22.34,4.51,3.36,72.92,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Frisbee,Home/Shop by Brand/Google/,1036,140,19,13,21,13.51,1.83,1.25,61.9,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
Google Packable Bag Black,Lifestyle/,1031,198,71,36,48,19.2,6.89,3.49,75.0,5727,0.83,低浏览 + 高转化,0.0,可用于初步比较
YouTube Standards Zip Hoodie Black,Home/Apparel/Men's / Unisex/,5702,920,22,11,15,16.13,0.39,0.19,73.33,5727,0.83,低浏览 + 低转化,36.5,购买样本较少
YouTube Transmission Journal Red,Home/Shop by Brand/YouTube/,5489,961,16,10,20,17.51,0.29,0.18,50.0,5727,0.83,低浏览 + 低转化,35.7,可用于初步比较
Google Bottle Cleaner,Lifestyle/Drinkware/,4483,1287,8,2,3,28.71,0.18,0.04,66.67,5727,0.83,低浏览 + 低转化,35.4,购买样本较少
Android Iconic Glass Bottle Green,Lifestyle/Drinkware/,5355,1527,20,11,16,28.52,0.37,0.21,68.75,5727,0.83,低浏览 + 低转化,33.2,购买样本较少
Google Mesh Bag Red,Lifestyle/Bags/,4857,897,13,8,12,18.47,0.27,0.16,66.67,5727,0.83,低浏览 + 低转化,32.5,购买样本较少
Google Tech Taco,Lifestyle/Small Goods/,4840,1130,12,8,13,23.35,0.25,0.17,61.54,5727,0.83,低浏览 + 低转化,31.9,购买样本较少
Google Mural Bottle,Lifestyle/Drinkware/,5022,1472,22,10,25,29.31,0.44,0.2,40.0,5727,0.83,低浏览 + 低转化,31.6,严格路径覆盖较低
Stainless Bent Straw/Cleaner,Lifestyle/Drinkware/,5139,1450,17,12,12,28.22,0.33,0.23,100.0,5727,0.83,低浏览 + 低转化,30.8,购买样本较少
Mural Food Container,Home/New/,4647,733,13,8,14,15.77,0.28,0.17,57.14,5727,0.83,低浏览 + 低转化,30.7,购买样本较少
Google Jotter Task Pad,Home/Stationery/,4102,895,5,4,12,21.82,0.12,0.1,33.33,5727,0.83,低浏览 + 低转化,29.9,购买样本较少
Google Confetti Accessory Pouch,Lifestyle/Bags/,4954,890,19,12,14,17.97,0.38,0.24,85.71,5727,0.83,低浏览 + 低转化,29.2,购买样本较少
Google Incognito Messenger Bag,Lifestyle/Bags/,4697,824,16,10,12,17.54,0.34,0.21,83.33,5727,0.83,低浏览 + 低转化,29.1,购买样本较少
Google Black Tee,Home/Sale/,3452,731,0,0,0,21.18,0.0,0.0,,5727,0.83,低浏览 + 低转化,28.7,购买样本较少
Google Pocket Tee Grey,Home/Apparel/Women's/,3361,864,0,0,0,25.71,0.0,0.0,,5727,0.83,低浏览 + 低转化,27.9,购买样本较少
Google Cloud  Unisex Zip Hoodie,Home/Apparel/Men's / Unisex/,3297,892,0,0,0,27.05,0.0,0.0,,5727,0.83,低浏览 + 低转化,27.4,购买样本较少
Google Unisex Pride Eco-Tee Black,Men's / Unisex,3182,637,0,0,0,20.02,0.0,0.0,,5727,0.83,低浏览 + 低转化,26.4,购买样本较少
#IamRemarkable Water Bottle,Lifestyle/Drinkware/,5173,1499,26,18,22,28.98,0.5,0.35,81.82,5727,0.83,低浏览 + 低转化,24.8,可用于初步比较
Android Jotter Task Pad,Home/Eco-Friendly/,3662,704,10,6,12,19.22,0.27,0.16,50.0,5727,0.83,低浏览 + 低转化,24.5,购买样本较少
Google Cup Cap Tumbler Grey,Lifestyle/Drinkware/,4975,1455,41,17,23,29.25,0.82,0.34,73.91,5727,0.83,低浏览 + 低转化,24.4,可用于初步比较
