item_name_key,item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_share_pct,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_checkout_to_purchase_rate_pct,strict_purchase_coverage_pct,benchmark_view_to_cart_rate_pct,benchmark_view_to_checkout_rate_pct,benchmark_strict_purchase_rate_pct
google cork base tumbler,Google Cork Base Tumbler,Lifestyle/Drinkware/,5609,1526,38,24,34,0.52,27.21,0.68,0.43,63.16,70.59,24.8,1.37,0.83
google women's microfleece jacket black,Google Women's Microfleece Jacket Black,Home/Apparel/Women's/,5590,1281,42,31,33,0.52,22.92,0.75,0.55,73.81,93.94,24.8,1.37,0.83
google land & sea tote bag,Google Land & Sea Tote Bag,Home/New/,5560,1060,44,23,33,0.51,19.06,0.79,0.41,52.27,69.7,24.8,1.37,0.83
google men's tech fleece grey,Google Men's Tech Fleece Grey,Home/Apparel/Men's / Unisex/,5495,1697,93,67,91,0.51,30.88,1.69,1.22,72.04,73.63,24.8,1.37,0.83
google campus bike tote navy,Google Campus Bike Tote Navy,Lifestyle/Bags/,5492,909,58,40,49,0.51,16.55,1.06,0.73,68.97,81.63,24.8,1.37,0.83
youtube transmission journal red,YouTube Transmission Journal Red,Home/Stationery/Notebooks/,5489,961,16,10,20,0.51,17.51,0.29,0.18,62.5,50.0,24.8,1.37,0.83
google flat front bag grey,Google Flat Front Bag Grey,Lifestyle/Bags/,5406,1023,99,44,61,0.5,18.92,1.83,0.81,44.44,72.13,24.8,1.37,0.83
google utility backpack,Google Utility BackPack,Lifestyle/Bags/,5391,876,59,22,39,0.5,16.25,1.09,0.41,37.29,56.41,24.8,1.37,0.83
android iconic glass bottle green,Android Iconic Glass Bottle Green,Lifestyle/Drinkware/,5355,1527,20,11,16,0.49,28.52,0.37,0.21,55.0,68.75,24.8,1.37,0.83
youtube crew socks,YouTube Crew Socks,Home/Apparel/Socks/,5241,976,39,21,42,0.48,18.62,0.74,0.4,53.85,50.0,24.8,1.37,0.83
#iamremarkable water bottle,#IamRemarkable Water Bottle,Lifestyle/Drinkware/,5173,1499,26,18,22,0.48,28.98,0.5,0.35,69.23,81.82,24.8,1.37,0.83
stainless bent straw/cleaner,Stainless Bent Straw/Cleaner,Lifestyle/Drinkware/,5139,1450,17,12,12,0.47,28.22,0.33,0.23,70.59,100.0,24.8,1.37,0.83
youtube play mug,YouTube Play Mug,Home/Shop by Brand/YouTube/,5088,834,58,37,52,0.47,16.39,1.14,0.73,63.79,71.15,24.8,1.37,0.83
google dino game tee,Google Dino Game Tee,Home/Apparel/Men's / Unisex/,5077,997,91,57,84,0.47,19.64,1.79,1.12,62.64,67.86,24.8,1.37,0.83
keyboard dot sticker,Keyboard DOT Sticker,Home/Stationery/,5045,1360,86,43,61,0.47,26.96,1.7,0.85,50.0,70.49,24.8,1.37,0.83
google mural bottle,Google Mural Bottle,Lifestyle/Drinkware/,5022,1472,22,10,25,0.46,29.31,0.44,0.2,45.45,40.0,24.8,1.37,0.83
google cup cap tumbler grey,Google Cup Cap Tumbler Grey,Lifestyle/Drinkware/,4975,1455,41,17,23,0.46,29.25,0.82,0.34,41.46,73.91,24.8,1.37,0.83
google confetti accessory pouch,Google Confetti Accessory Pouch,Lifestyle/Bags/,4954,890,19,12,14,0.46,17.97,0.38,0.24,63.16,85.71,24.8,1.37,0.83
google crew socks,Google Crew Socks,Home/Apparel/,4935,1061,146,88,132,0.46,21.5,2.96,1.78,60.27,66.67,24.8,1.37,0.83
youtube iconic play pin,YouTube Iconic Play Pin,Home/Shop by Brand/YouTube/,4872,766,43,22,25,0.45,15.72,0.88,0.45,51.16,88.0,24.8,1.37,0.83
android iconic mug gray,Android Iconic Mug Gray,Lifestyle/Drinkware/,4870,1408,47,23,30,0.45,28.91,0.97,0.47,48.94,76.67,24.8,1.37,0.83
google women's puff jacket black,Google Women's Puff Jacket Black,Home/Apparel/Women's/,4863,1174,51,33,46,0.45,24.14,1.05,0.68,64.71,71.74,24.8,1.37,0.83
google mesh bag red,Google Mesh Bag Red,Lifestyle/Bags/,4857,897,13,8,12,0.45,18.47,0.27,0.16,61.54,66.67,24.8,1.37,0.83
google tech taco,Google Tech Taco,Lifestyle/Small Goods/,4840,1130,12,8,13,0.45,23.35,0.25,0.17,66.67,61.54,24.8,1.37,0.83
google woodtop bottle black,Google Woodtop Bottle Black,Lifestyle/Drinkware/,4768,1395,60,29,54,0.44,29.26,1.26,0.61,48.33,53.7,24.8,1.37,0.83
google incognito messenger bag,Google Incognito Messenger Bag,Lifestyle/Bags/,4697,824,16,10,12,0.43,17.54,0.34,0.21,62.5,83.33,24.8,1.37,0.83
google campus bike carry pouch,Google Campus Bike Carry Pouch,Lifestyle/Bags/,4691,836,22,17,22,0.43,17.82,0.47,0.36,77.27,77.27,24.8,1.37,0.83
google mesh bag blue,Google Mesh Bag Blue,Lifestyle/Bags/,4687,830,49,23,31,0.43,17.71,1.05,0.49,46.94,74.19,24.8,1.37,0.83
google tudes recycled tee,Google Tudes Recycled Tee,Home/Apparel/Men's / Unisex/,4650,1236,29,20,21,0.43,26.58,0.62,0.43,68.97,95.24,24.8,1.37,0.83
mural food container,Mural Food Container,Home/Eco-Friendly/,4647,733,13,8,14,0.43,15.77,0.28,0.17,61.54,57.14,24.8,1.37,0.83
google women's grid zip-up,Google Women's Grid Zip-Up,Home/Apparel/Women's/,4592,1119,57,43,49,0.42,24.37,1.24,0.94,75.44,87.76,24.8,1.37,0.83
google phone stand bamboo,Google Phone Stand Bamboo,Lifestyle/Small Goods/,4571,1067,42,24,46,0.42,23.34,0.92,0.53,57.14,52.17,24.8,1.37,0.83
google bottle cleaner,Google Bottle Cleaner,Lifestyle/Drinkware/,4483,1287,8,2,3,0.41,28.71,0.18,0.04,25.0,66.67,24.8,1.37,0.83
google mouse pad navy,Google Mouse Pad Navy,Lifestyle/Small Goods/,4428,1133,26,20,25,0.41,25.59,0.59,0.45,76.92,80.0,24.8,1.37,0.83
#iamremarkable ladies t-shirt,#IamRemarkable Ladies T-Shirt,Home/Apparel/Women's/,4421,1103,22,14,23,0.41,24.95,0.5,0.32,63.64,60.87,24.8,1.37,0.83
google men's puff jacket black,Google Men's Puff Jacket Black,Home/Apparel/Men's / Unisex/,4327,826,55,35,52,0.4,19.09,1.27,0.81,63.64,67.31,24.8,1.37,0.83
google jotter task pad,Google Jotter Task Pad,Home/Eco-Friendly/,4102,895,5,4,12,0.38,21.82,0.12,0.1,80.0,33.33,24.8,1.37,0.83
google small cable organizer blue,Google Small Cable Organizer Blue,Lifestyle/,4090,971,20,14,19,0.38,23.74,0.49,0.34,70.0,73.68,24.8,1.37,0.83
google see-no hear-no set,Google See-No Hear-No Set,Lifestyle/Small Goods/,3879,855,48,30,43,0.36,22.04,1.24,0.77,62.5,69.77,24.8,1.37,0.83
android jotter task pad,Android Jotter Task Pad,Home/Stationery/Notebooks/,3662,704,10,6,12,0.34,19.22,0.27,0.16,60.0,50.0,24.8,1.37,0.83
android iconic pin,Android Iconic Pin,Lifestyle/Small Goods/,3619,799,20,12,17,0.33,22.08,0.55,0.33,60.0,70.59,24.8,1.37,0.83
google toddler fc tee charcoal,Google Toddler FC Tee Charcoal,Home/Apparel/,3550,744,48,31,38,0.33,20.96,1.35,0.87,64.58,81.58,24.8,1.37,0.83
google lovehandle black,Google LoveHandle Black,Lifestyle/Small Goods/,3533,779,30,18,30,0.33,22.05,0.85,0.51,60.0,60.0,24.8,1.37,0.83
google black tee,Google Black Tee,Sale,3452,731,0,0,0,0.32,21.18,0.0,0.0,,,24.8,1.37,0.83
google crewneck sweatshirt grey,Google Crewneck Sweatshirt Grey,Home/Apparel/Men's / Unisex/,3371,1069,79,53,76,0.31,31.71,2.34,1.57,67.09,69.74,24.8,1.37,0.83
google pocket tee grey,Google Pocket Tee Grey,Sale,3361,864,0,0,0,0.31,25.71,0.0,0.0,,,24.8,1.37,0.83
google laptop and cell phone stickers,Google Laptop and Cell Phone Stickers,Home/Stationery/,3297,1004,178,96,138,0.3,30.45,5.4,2.91,53.93,69.57,24.8,1.37,0.83
google cloud  unisex zip hoodie,Google Cloud  Unisex Zip Hoodie,Home/New/,3297,892,0,0,0,0.3,27.05,0.0,0.0,,,24.8,1.37,0.83
google youth fc tee charcoal,Google Youth FC Tee Charcoal,Home/Apparel/Kids/,3197,771,25,19,28,0.3,24.12,0.78,0.59,76.0,67.86,24.8,1.37,0.83
google unisex pride eco-tee black,Google Unisex Pride Eco-Tee Black,Men's / Unisex,3182,637,0,0,0,0.29,20.02,0.0,0.0,,,24.8,1.37,0.83
#iamremarkable unisex t-shirt,#IamRemarkable Unisex T-Shirt,Home/Apparel/Men's / Unisex/,3175,756,54,34,43,0.29,23.81,1.7,1.07,62.96,79.07,24.8,1.37,0.83
google metallic notebook set,Google Metallic Notebook Set,Home/Stationery/Notebooks/,3154,1018,162,91,119,0.29,32.28,5.14,2.89,56.17,76.47,24.8,1.37,0.83
google large standard journal grey,Google Large Standard Journal Grey,Office,3152,909,80,44,68,0.29,28.84,2.54,1.4,55.0,64.71,24.8,1.37,0.83
youtube 25 oz gear cap bottle black,YouTube 25 oz Gear Cap Bottle Black,Home/Shop by Brand/YouTube/,3147,512,14,9,16,0.29,16.27,0.44,0.29,64.29,56.25,24.8,1.37,0.83
google thermal tumbler navy,Google Thermal Tumbler Navy,Lifestyle/Drinkware/,3120,615,70,47,71,0.29,19.71,2.24,1.51,67.14,66.2,24.8,1.37,0.83
google camp mug ivory,Google Camp Mug Ivory,Drinkware,3110,902,156,117,178,0.29,29.0,5.02,3.76,75.0,65.73,24.8,1.37,0.83
google black cork journal,Google Black Cork Journal,Home/Stationery/,3102,896,97,51,74,0.29,28.88,3.13,1.64,52.58,68.92,24.8,1.37,0.83
google youth fc longsleeve charcoal,Google Youth FC Longsleeve Charcoal,Home/Apparel/,3075,713,31,17,22,0.28,23.19,1.01,0.55,54.84,77.27,24.8,1.37,0.83
google split seam tee olive,Google Split Seam Tee Olive,Home/Apparel/Men's / Unisex/,3043,827,49,27,35,0.28,27.18,1.61,0.89,55.1,77.14,24.8,1.37,0.83
google super g tumbler (red lid),Google Super G Tumbler (Red Lid),Home/Eco-Friendly/,3031,597,54,33,40,0.28,19.7,1.78,1.09,61.11,82.5,24.8,1.37,0.83
google perk thermal tumbler,Google Perk Thermal Tumbler,Lifestyle/Drinkware/,3001,570,105,69,101,0.28,18.99,3.5,2.3,65.71,68.32,24.8,1.37,0.83
google pen white,Google Pen White,Home/Stationery/Writing/,2971,1004,122,78,101,0.27,33.79,4.11,2.63,63.93,77.23,24.8,1.37,0.83
google cloud pen,Google Cloud Pen,Home/New/,2953,756,67,39,44,0.27,25.6,2.27,1.32,58.21,88.64,24.8,1.37,0.83
google recycled pen black,Google Recycled Pen Black,Home/Eco-Friendly/,2929,579,51,28,38,0.27,19.77,1.74,0.96,54.9,73.68,24.8,1.37,0.83
google super g tumbler (blue lid),Google Super G Tumbler (Blue Lid),Home/Eco-Friendly/,2920,529,13,9,18,0.27,18.12,0.45,0.31,69.23,50.0,24.8,1.37,0.83
google cotopaxi shell,Google Cotopaxi Shell,Home/Eco-Friendly/,2917,426,71,48,73,0.27,14.6,2.43,1.65,67.61,65.75,24.8,1.37,0.83
android pocket onesie navy,Android Pocket Onesie Navy,Home/Apparel/Kids/,2902,770,41,30,46,0.27,26.53,1.41,1.03,73.17,65.22,24.8,1.37,0.83
snowflake android cardboard sculpture,Snowflake Android Cardboard Sculpture,Lifestyle/Small Goods/,2859,646,20,11,21,0.26,22.6,0.7,0.38,55.0,52.38,24.8,1.37,0.83
google clear pen 4-pack,Google Clear Pen 4-Pack,Home/Stationery/Writing/,2857,974,131,80,138,0.26,34.09,4.59,2.8,61.07,57.97,24.8,1.37,0.83
google emoji sticker pack,Google Emoji Sticker Pack,Home/Stationery/,2816,816,58,33,51,0.26,28.98,2.06,1.17,56.9,64.71,24.8,1.37,0.83
google cambridge campus sticker,Google Cambridge Campus Sticker,Home/Campus Collection/,2801,840,25,16,18,0.26,29.99,0.89,0.57,64.0,88.89,24.8,1.37,0.83
google nyc campus sticker,Google NYC Campus Sticker,Home/Campus Collection/,2728,814,45,28,38,0.25,29.84,1.65,1.03,62.22,73.68,24.8,1.37,0.83
google confetti slim task pad,Google Confetti Slim Task Pad,Home/Stationery/Notebooks/,2649,752,20,15,24,0.24,28.39,0.76,0.57,75.0,62.5,24.8,1.37,0.83
google cambridge campus zip hoodie,Google Cambridge Campus Zip Hoodie,Home/Sale/,2637,697,18,14,16,0.24,26.43,0.68,0.53,77.78,87.5,24.8,1.37,0.83
#iamremarkable unisex hoodie,#IamRemarkable Unisex Hoodie,Home/Apparel/,2586,478,36,24,26,0.24,18.48,1.39,0.93,66.67,92.31,24.8,1.37,0.83
google canteen bottle black,Google Canteen Bottle Black,Lifestyle/,2577,648,119,88,116,0.24,25.15,4.62,3.41,73.95,75.86,24.8,1.37,0.83
google nyc campus bottle,Google NYC Campus Bottle,Home/Campus Collection/,2552,724,40,23,34,0.24,28.37,1.57,0.9,57.5,67.65,24.8,1.37,0.83
google mini kick ball,Google Mini Kick Ball,Lifestyle/,2550,433,23,13,35,0.24,16.98,0.9,0.51,56.52,37.14,24.8,1.37,0.83
google aluminum bottle red,Google Aluminum Bottle Red,Home/New/,2489,617,40,21,22,0.23,24.79,1.61,0.84,52.5,95.45,24.8,1.37,0.83
google infant hero tee olive,Google Infant Hero Tee Olive,Home/Apparel/Kids/,2479,582,34,25,37,0.23,23.48,1.37,1.01,73.53,67.57,24.8,1.37,0.83
google women's eco tee black,Google Women's Eco Tee Black,Home/Apparel/,2441,617,1,1,1,0.23,25.28,0.04,0.04,100.0,100.0,24.8,1.37,0.83
google nyc campus mug,Google NYC Campus Mug,Home/Campus Collection/,2426,706,99,68,90,0.22,29.1,4.08,2.8,68.69,75.56,24.8,1.37,0.83
google toddler tee white,Google Toddler Tee White,Home/Apparel/Kids/,2404,531,32,23,27,0.22,22.09,1.33,0.96,71.88,85.19,24.8,1.37,0.83
candy cane android cardboard sculpture,Candy Cane Android Cardboard Sculpture,Lifestyle/Small Goods/,2382,290,0,0,1,0.22,12.17,0.0,0.0,,0.0,24.8,1.37,0.83
android buoy bottle,Android Buoy Bottle,Home/Shop by Brand/Android/,2363,452,82,39,50,0.22,19.13,3.47,1.65,47.56,78.0,24.8,1.37,0.83
google cambridge campus mug,Google Cambridge Campus Mug,Home/Campus Collection/,2346,653,66,38,44,0.22,27.83,2.81,1.62,57.58,86.36,24.8,1.37,0.83
google cambridge campus bottle,Google Cambridge Campus Bottle,Home/Campus Collection/,2332,637,18,5,7,0.22,27.32,0.77,0.21,27.78,71.43,24.8,1.37,0.83
google nyc campus lapel pin,Google NYC Campus Lapel Pin,Home/Campus Collection/,2318,642,30,19,22,0.21,27.7,1.29,0.82,63.33,86.36,24.8,1.37,0.83
google cambridge campus unisex tee,Google Cambridge Campus Unisex Tee,Home/Campus Collection/,2311,628,15,10,12,0.21,27.17,0.65,0.43,66.67,83.33,24.8,1.37,0.83
google cambridge campus ladies tee,Google Cambridge Campus Ladies Tee,Home/Campus Collection/,2311,626,7,5,6,0.21,27.09,0.3,0.22,71.43,83.33,24.8,1.37,0.83
google camp mug gray,Google Camp Mug Gray,,2305,760,109,76,85,0.21,32.97,4.73,3.3,69.72,89.41,24.8,1.37,0.83
google cambridge campus tote,Google Cambridge Campus Tote,Home/Campus Collection/,2282,623,5,4,4,0.21,27.3,0.22,0.18,80.0,100.0,24.8,1.37,0.83
google crew combed cotton sock,Google Crew Combed Cotton Sock,Home/Apparel/Socks/,2270,574,76,54,83,0.21,25.29,3.35,2.38,71.05,65.06,24.8,1.37,0.83
google color block notebook,Google Color Block Notebook,Home/Stationery/Notebooks/,2249,410,16,12,17,0.21,18.23,0.71,0.53,75.0,70.59,24.8,1.37,0.83
google bear baby blanket beige,Google Bear Baby Blanket Beige,Small Goods,2195,589,21,17,33,0.2,26.83,0.96,0.77,80.95,51.52,24.8,1.37,0.83
google light pen blue,Google Light Pen Blue,Home/Stationery/,2174,823,104,67,81,0.2,37.86,4.78,3.08,64.42,82.72,24.8,1.37,0.83
google toddler fc zip hoodie,Google Toddler FC Zip Hoodie,Home/Apparel/Kids/,2168,394,87,56,68,0.2,18.17,4.01,2.58,64.37,82.35,24.8,1.37,0.83
google youth hero tee grey,Google Youth Hero Tee Grey,Home/Apparel/Kids/,2167,511,37,25,32,0.2,23.58,1.71,1.15,67.57,78.13,24.8,1.37,0.83
google bot (multicolored),Google Bot (Multicolored),Home/New/,2142,490,62,30,36,0.2,22.88,2.89,1.4,48.39,83.33,24.8,1.37,0.83
google 24oz ring bottle blue,Google 24oz Ring Bottle Blue,Lifestyle/Drinkware/,2093,520,43,34,42,0.19,24.84,2.05,1.62,79.07,80.95,24.8,1.37,0.83
google decal,Google Decal,Home/Shop by Brand/,2090,550,53,26,61,0.19,26.32,2.54,1.24,49.06,42.62,24.8,1.37,0.83
google sunglasses,Google Sunglasses,Small Goods,2080,333,62,39,67,0.19,16.01,2.98,1.88,62.9,58.21,24.8,1.37,0.83
